label,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,mean_intensity,circularity
1,292.0,63.455844,0.784553,0.966887,24.498717,15.190723,0.301276,0.911275
2,179.0,47.79899,0.745863,0.98895,18.500387,12.323091,0.259809,0.984522
3,207.0,52.284271,0.70292,0.958333,19.253352,13.694319,0.207578,0.951564
4,294.0,62.284271,0.633049,0.963934,21.991384,17.023788,0.29189,0.952358
5,127.0,39.79899,0.765259,0.984496,15.826425,10.187835,0.233627,1.007557
6,53.0,26.142136,0.789019,0.929825,10.489047,6.444149,0.206585,0.974549
7,683.0,128.225397,0.858942,0.772624,47.011149,24.073135,0.275193,0.522014
8,151.0,42.627417,0.492732,0.974194,14.857777,12.928955,0.255162,1.04426
9,208.0,51.79899,0.690927,0.971963,19.145819,13.840988,0.291931,0.974161
10,161.0,43.79899,0.552,0.98773,15.661022,13.058853,0.240507,1.054648
11,158.0,45.455844,0.729505,0.963415,17.16702,11.741817,0.225813,0.960921
12,105.0,35.79899,0.556021,0.954545,12.679638,10.538909,0.222185,1.029574
13,165.0,46.041631,0.691317,0.976331,17.100706,12.356147,0.281735,0.978121
14,176.0,47.79899,0.756836,0.972376,18.509612,12.097962,0.282175,0.968022
15,262.0,59.112698,0.764234,0.973978,22.734276,14.662227,0.279195,0.942214
16,198.0,50.041631,0.688318,0.975369,18.630043,13.514395,0.263379,0.993601
17,215.0,54.627417,0.814582,0.972851,21.724187,12.601091,0.25233,0.905372
18,700.0,132.953319,0.829816,0.792752,44.16936,24.648128,0.240768,0.497633
19,157.0,43.79899,0.688674,0.987421,16.58497,12.025289,0.265218,1.028446
20,143.0,43.213203,0.660377,0.940789,15.582166,11.701185,0.285013,0.962306
21,317.0,77.84062,0.884545,0.870879,31.042895,14.480103,0.237583,0.657441
22,124.0,38.627417,0.249437,0.96124,12.776988,12.373119,0.20487,1.044336
23,311.0,63.698485,0.690052,0.971875,23.390152,16.928846,0.284951,0.96319
